skill_level,tasks,path,occupation_code,occupation_name,National Shortage Rating
"Most occupations in this sub-major group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:assessing, discussing and assisting with the legal, social, vocational and spiritual needs of individuals and the communityproviding legal advice and written opinions on points of lawpresiding over judicial proceedings and pronouncing judgmentsassessing resources for health, welfare, recreation, housing, employment and other community servicesdeveloping, administering and evaluating individual and group treatment programsassisting clients to understand and resolve problemspreparing and conducting services of public worship and acknowledgements of faith in accordance with accepted ceremonial requirementsundertaking historical and cultural research into human activity, and preparing reports of research findings","assessing, discussing and assisting with the legal, social, vocational and spiritual needs of individuals and the community; providing legal advice and written opinions on points of law; presiding over judicial proceedings and pronouncing judgments; assessing resources for health, welfare, recreation, housing, employment and other community services; developing, administering and evaluating individual and group treatment programs; assisting clients to understand and resolve problems; preparing and conducting services of public worship and acknowledgements of faith in accordance with accepted ceremonial requirements; undertaking historical and cultural research into human activity, and preparing reports of research findings","Professionals > Legal, Social and Welfare Professionals",27,"Legal, Social and Welfare Professionals",
"Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification (ANZSCO Skill Level 1).Tasks Include:receiving written information in the form of briefs and verbal instructions concerning legal casesresearching statutes and previous court decisions relevant to casesproviding advice and written opinions on points of lawinterviewing clients, and recommending and undertaking appropriate legal actionpreparing cases for court by conducting investigations, undertaking research, arranging witnesses, and giving notice of court actionsrepresenting clients in court, outlining the facts to the court, calling and questioning witnesses, and making addresses to the court to argue a client's casepresiding over judicial proceedings and pronouncing judgments in courts of lawacting individually and as members of administrative and industrial tribunals to resolve disputes","receiving written information in the form of briefs and verbal instructions concerning legal cases; researching statutes and previous court decisions relevant to cases; providing advice and written opinions on points of law; interviewing clients, and recommending and undertaking appropriate legal action; preparing cases for court by conducting investigations, undertaking research, arranging witnesses, and giving notice of court actions; representing clients in court, outlining the facts to the court, calling and questioning witnesses, and making addresses to the court to argue a client's case; presiding over judicial proceedings and pronouncing judgments in courts of law; acting individually and as members of administrative and industrial tribunals to resolve disputes","Professionals > Legal, Social and Welfare Professionals > Legal Professionals",271,Legal Professionals,
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification (ANZSCO Skill Level 1).Registration or licensing is required.Tasks Include:receiving written information in the form of briefs and verbal instructions concerning cases from Solicitors, other specialist Legal Professionals and clientsproviding advice and written opinions on points of lawconferring with clients and witnesses in preparation for court proceedingsdrawing up pleadings, affidavits and other court documentsresearching statutes and previous court decisions relevant to casesoutlining the facts to the court, calling and questioning witnesses, and making addresses to the court to argue a client's caseproviding opinion on complex legal issuesmay draw up or settle documentsOccupation:271111 Barrister271111 BarristerPleads cases before civil, criminal and industrial courts and other tribunals. Registration or licensing is required.Skill Level: 1Specialisations:Queen's CounselSenior Counsel","receiving written information in the form of briefs and verbal instructions concerning cases from Solicitors, other specialist Legal Professionals and clients; providing advice and written opinions on points of law; conferring with clients and witnesses in preparation for court proceedings; drawing up pleadings, affidavits and other court documents; researching statutes and previous court decisions relevant to cases; outlining the facts to the court, calling and questioning witnesses, and making addresses to the court to argue a client's case; providing opinion on complex legal issues; may draw up or settle documents","Professionals > Legal, Social and Welfare Professionals > Legal Professionals > Barristers",2711,Barristers,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification and at least five years of relevant experience. Judges require appointment by the government or crown and must have been a Magistrate or an experienced legal practitioner of at least seven years standing. Magistrates must have been a legal practitioner of at least five years standing (ANZSCO Skill Level 1).Registration or licensing may be required.Tasks Include:researching statutes and previous court decisions relevant to casesconducting trials and hearingscalling and questioning witnesseshearing and evaluating arguments and evidence in civil and criminal summary mattersdeciding penalties and sentences within statutory limits, such as fines, bonds and detention, awarding damages in civil matters, and issuing court ordersexercising arbitral powers if resolution is not achieved or seems improbable through conciliationpreparing settlement memoranda and obtaining signatures of partiesadvising government of legal, constitutional and parliamentary matters and drafting bills and attending committee meetings during consideration of billspreparing advice on matters associated with intellectual property rightsadvising clients and agents on legal and technical mattersOccupations:271211 Judge271212 Magistrate271213 Tribunal Member271214 Intellectual Property Lawyer271299 Judicial and Other Legal Professionals nec271211 JudgePresides over civil and criminal proceedings in a court of law.Skill Level: 1Specialisations:District Court JudgeFamily Court JusticeHigh Court JusticeSupreme Court JudgeYouth Court Judge (NZ)271212 MagistrateAlternative Title:Chamber MagistrateHears criminal matters to determine whether defendants will be committed for trial and adjudicates minor criminal offences without a jury.Skill Level: 1Specialisations:Children's Court MagistrateIndustrial Court MagistrateLicensing Court Magistrate271213 Tribunal MemberHears industrial, administrative or other disputes to assist in resolving differences and to arbitrate on issues.Skill Level: 1Specialisations:Administrative Appeals Tribunal MemberIndustrial Relations CommissionerWaitangi Tribunal Member (NZ)271214 Intellectual Property LawyerProvides legal advice, prepares and drafts legal documents, and conducts negotiations on behalf of clients on matters associated with protecting intellectual capital, utilising patent law, copyright law and licensing. Registration or licensing is required.Skill Level: 1Specialisations:Patent AttorneyTrade Mark Attorney271299 Judicial and Other Legal Professionals necThis occupation group covers Judicial and Other Legal Professionals not elsewhere classified. Registration or licensing may be required.Skill Level: 1Occupations in this group include:Family Court RegistrarFamily Law MediatorJudicial RegistrarLegal OfficerLegal ResearcherParliamentary Counsel","researching statutes and previous court decisions relevant to cases; conducting trials and hearings; calling and questioning witnesses; hearing and evaluating arguments and evidence in civil and criminal summary matters; deciding penalties and sentences within statutory limits, such as fines, bonds and detention, awarding damages in civil matters, and issuing court orders; exercising arbitral powers if resolution is not achieved or seems improbable through conciliation; preparing settlement memoranda and obtaining signatures of parties; advising government of legal, constitutional and parliamentary matters and drafting bills and attending committee meetings during consideration of bills; preparing advice on matters associated with intellectual property rights; advising clients and agents on legal and technical matters","Professionals > Legal, Social and Welfare Professionals > Legal Professionals > Judicial and Other Legal Professionals",2712,Judicial and Other Legal Professionals,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification (ANZSCO Skill Level 1).Registration or licensing is required.Tasks Include:interviewing clients to determine the nature of problems, and recommending and undertaking appropriate legal actionpreparing cases for court by conducting investigations, undertaking research, arranging witness preparation and attendance, and giving notice of court actionsrepresenting clients in courtmanaging conveyancing and other property matters by preparing contracts of sale, mortgage documents, lease documents and other documents relating to the transfer of land and buildingspreparing and critically reviewing contracts between partiespreparing willsproviding advice on family law, company law, partnerships, commercial law and trustsmay act as trustee or guardianmay act as executor of clients' willsOccupation:271311 Solicitor271311 SolicitorProvides legal advice, prepares and drafts legal documents, and conducts negotiations on behalf of clients on matters associated with the law. Registration or licensing is required.Skill Level: 1","interviewing clients to determine the nature of problems, and recommending and undertaking appropriate legal action; preparing cases for court by conducting investigations, undertaking research, arranging witness preparation and attendance, and giving notice of court actions; representing clients in court; managing conveyancing and other property matters by preparing contracts of sale, mortgage documents, lease documents and other documents relating to the transfer of land and buildings; preparing and critically reviewing contracts between parties; preparing wills; providing advice on family law, company law, partnerships, commercial law and trusts; may act as trustee or guardian; may act as executor of clients' wills","Professionals > Legal, Social and Welfare Professionals > Legal Professionals > Solicitors",2713,Solicitors,Shortage
"Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:assessing resources for health, welfare, recreation, housing, employment and other community servicesproviding support while exploring alternatives with clients who experience difficulties such as marital problems, unemployment, illness and drug abuseconsulting with clients to develop rehabilitation plans taking account of vocational, social, medical and psychological needsassisting clients with employment placement and matters relating to education and trainingdeveloping, administering and evaluating individual and group treatment programspreparing and conducting services of public worship and acknowledgments of faith, and performing marriages, funerals and special memorial services according to tradition and ecclesiastical and civil lawundertaking historical and cultural research into human activity, and preparing reports of research findings","assessing resources for health, welfare, recreation, housing, employment and other community services; providing support while exploring alternatives with clients who experience difficulties such as marital problems, unemployment, illness and drug abuse; consulting with clients to develop rehabilitation plans taking account of vocational, social, medical and psychological needs; assisting clients with employment placement and matters relating to education and training; developing, administering and evaluating individual and group treatment programs; preparing and conducting services of public worship and acknowledgments of faith, and performing marriages, funerals and special memorial services according to tradition and ecclesiastical and civil law; undertaking historical and cultural research into human activity, and preparing reports of research findings","Professionals > Legal, Social and Welfare Professionals > Social and Welfare Professionals",272,Social and Welfare Professionals,
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:working with clients on career, study and employment options by obtaining and examining information relevant to their abilities and needsproviding information and resources to assist clients with job-seeking skillsassessing client needs in relation to treatment for drug and alcohol abuseconducting counselling interviews with individuals, couples and family groupsassisting the understanding and adjustment of attitudes, expectations and behaviour to develop more effective interpersonal and marital relationshipspresenting alternative approaches and discussing potential for attitude and behaviour changeconsulting with clients to develop rehabilitation plans taking account of vocational and social needscontributing information, understanding and advice on the learning and behaviour of students, especially those with special needs, and assisting parents and teachers in dealing with these needsmay work in a call centreOccupations:272111 Careers Counsellor272112 Drug and Alcohol Counsellor272113 Family and Marriage Counsellor272114 Rehabilitation Counsellor272115 Student Counsellor272199 Counsellors nec272111 Careers CounsellorAlternative Title:Careers AdviserProvides individuals and groups with information about career choices and assists individuals with self-development.Skill Level: 1272112 Drug and Alcohol CounsellorProvides support and treatment for people with drug and alcohol dependency problems, develops strategies which assist them to set goals and affect and maintain change, and provides community education. May work in a call centre.Skill Level: 1272113 Family and Marriage CounsellorAssists individuals, couples and families with marriage and relationship difficulties. May work in a call centre.Skill Level: 1Specialisation:Family Court Counsellor272114 Rehabilitation CounsellorAssists physically, mentally and socially disadvantaged people to reintegrate into work and the community.Skill Level: 1272115 Student CounsellorAlternative Title:School CounsellorProvides information and assistance to students, parents and teachers about a wide range of matters such as students' personal problems, learning difficulties and special requirements.Skill Level: 1272199 Counsellors necThis occupation group covers Counsellors not elsewhere classified. Occupations in this group may work in a call centre.Skill Level: 1Occupations in this group include:Gambling CounsellorGrief CounsellorLife CoachSexual Assault Counsellor / Sexual Abuse CounsellorTrauma Counsellor","working with clients on career, study and employment options by obtaining and examining information relevant to their abilities and needs; providing information and resources to assist clients with job-seeking skills; assessing client needs in relation to treatment for drug and alcohol abuse; conducting counselling interviews with individuals, couples and family groups; assisting the understanding and adjustment of attitudes, expectations and behaviour to develop more effective interpersonal and marital relationships; presenting alternative approaches and discussing potential for attitude and behaviour change; consulting with clients to develop rehabilitation plans taking account of vocational and social needs; contributing information, understanding and advice on the learning and behaviour of students, especially those with special needs, and assisting parents and teachers in dealing with these needs; may work in a call centre","Professionals > Legal, Social and Welfare Professionals > Social and Welfare Professionals > Counsellors",2721,Counsellors,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. The occupation in this unit group requires high levels of personal commitment and interest as well as, or in place of, formal qualifications or experience (ANZSCO Skill Level 1).Registration or licensing may be required.Tasks Include:preparing and conducting services of public worship and acknowledgments of faithpreparing and delivering sermons, homilies and special talks, and planning music for servicesparticipating in the social and welfare activities of communities, encouraging people to be aware of their responsibilities, and organising participation in community projectsconducting classes of religious instruction, and supervising prayer and discussion groups, retreats and seminarsconducting premarital and family counselling and referring people to professional service agencies where necessaryperforming marriages, funerals and special memorial services according to tradition and ecclesiastical and civil lawvisiting members of the community in their homes, hospitals and other institutions to provide advice and religious comfortkeeping records as required by the church and civil lawOccupation:272211 Minister of Religion272211 Minister of ReligionPerforms spiritual functions associated with beliefs and practices of a religious faith, and provides motivation, guidance and training in religious life for the people of a congregation or parish, and the wider community. This occupation requires high levels of personal commitment and interest as well as, or in place of, formal qualifications or experience. Registration or licensing may be required.Skill Level: 1Specialisations:Aboriginal Ceremonial CelebrantChaplainImamMonkPriestRabbiSalvation Army Officer","preparing and conducting services of public worship and acknowledgments of faith; preparing and delivering sermons, homilies and special talks, and planning music for services; participating in the social and welfare activities of communities, encouraging people to be aware of their responsibilities, and organising participation in community projects; conducting classes of religious instruction, and supervising prayer and discussion groups, retreats and seminars; conducting premarital and family counselling and referring people to professional service agencies where necessary; performing marriages, funerals and special memorial services according to tradition and ecclesiastical and civil law; visiting members of the community in their homes, hospitals and other institutions to provide advice and religious comfort; keeping records as required by the church and civil law","Professionals > Legal, Social and Welfare Professionals > Social and Welfare Professionals > Ministers of Religion",2722,Ministers of Religion,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Registration or licensing may be required.collecting data about clients and assessing their cognitive, behavioural and emotional disordersadministering and interpreting diagnostic tests and formulating plans for treatmentdeveloping, administering and evaluating individual and group treatment programsconsulting with other professionals on details of cases and treatment plansconducting research studies of motivation in learning, group performance and individual differences in mental abilities and educational performancecollecting data and analysing characteristics of students and recommending educational programsformulating achievement, diagnostic and predictive tests for use by teachers in planning methods and content of instructiondeveloping interview techniques, psychological tests and other aids in workplace selection, placement, appraisal and promotionconducting surveys and research studies on job design, work groups, morale, motivation, supervision and managementperforming job analyses and establishing job requirements by observing and interviewing employees and managersOccupations:272311 Clinical Psychologist272312 Educational Psychologist272313 Organisational Psychologist272314 Psychotherapist272399 Psychologists nec272311 Clinical PsychologistConsults with individuals and groups, assesses psychological disorders and administers programs of treatment. Registration or licensing is required.Skill Level: 1Specialisations:Forensic PsychologistHealth PsychologistNeuropsychologist272312 Educational PsychologistInvestigates learning and teaching, and develops psychological techniques to foster the development and skills of individuals and groups in educational settings. Registration or licensing is required.Skill Level: 1272313 Organisational PsychologistAlternative Titles:Industrial PsychologistOccupational PsychologistApplies psychological principles and techniques to study occupational behaviour, working conditions and organisational structure, and solve problems of work performance and organisational design. Registration or licensing is required.Skill Level: 1272314 PsychotherapistProvides diagnosis and treatment of mental and emotional disorders using psychotherapeutic methods such as behavioural therapy, biofeedback, relaxation therapy and other techniques.Skill Level: 1Specialisation:Art Psychotherapist or Therapist272399 Psychologists necThis occupation group covers Psychologists not elsewhere classified. Registration or licensing is required.Skill Level: 1Occupations in this group include:Counselling PsychologistSport Psychologist",,"Professionals > Legal, Social and Welfare Professionals > Social and Welfare Professionals > Psychologists",2723,Psychologists,Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification (ANZSCO Skill Level 1).Tasks Include:assembling historical data by consulting sources of information such as historical indexes and catalogues, archives, court records, diaries, newspaper files and other materialsorganising, authenticating, evaluating and interpreting historical, political, sociological, archaeological, anthropological and linguistic dataundertaking historical and cultural research into human activity, and preparing and presenting research findingsproviding simultaneous and consecutive verbal or signed renditions of speeches into another languagerendering the meaning and feeling of what is said and signed into another language in the appropriate register and style in a range of settings such as courts, hospitals, schools, workplaces and conferencesstudying original texts and transcripts of recorded spoken material to comprehend subject matter and translating them into another languagerendering the meaning and feeling of written material, such as literary, legal, technical and scientific texts, into another language in the appropriate register and style, so that it will read as an original piece rather than as a translationOccupations:272411 Historian272412 Interpreter272413 Translator272414 Archaeologist272499 Social Professionals nec272411 HistorianResearches the history of human activity and prepares accounts of findings.Skill Level: 1Specialisations:Art HistorianCultural HistorianEconomic HistorianGeographical Historian272412 InterpreterTransfers a spoken or signed language into another spoken or signed language, usually within a limited time frame in the presence of the participants requiring the translation.Skill Level: 1Specialisation:Kai Whakaruruhau (Advisor) (NZ)272413 TranslatorTransfers a source text from one language into another, usually within an extended time frame to allow for corrections and modifications and without the presence of the participants requiring the translation.Skill Level: 1272414 ArchaeologistStudies human activity in the past, primarily through the recovery and analysis of the material culture and environmental data left behind, which includes artifacts, architecture, biofacts and cultural landscapes (the archaeological record).Skill Level: 1272499 Social Professionals necThis occupation group covers Social Professionals not elsewhere classified.Skill Level: 1Occupations in this group include:AnthropologistCriminologistGeographerHeritage ConsultantLinguistParole Board MemberPolitical ScientistSociologistTransport Analyst","assembling historical data by consulting sources of information such as historical indexes and catalogues, archives, court records, diaries, newspaper files and other materials; organising, authenticating, evaluating and interpreting historical, political, sociological, archaeological, anthropological and linguistic data; undertaking historical and cultural research into human activity, and preparing and presenting research findings; providing simultaneous and consecutive verbal or signed renditions of speeches into another language; rendering the meaning and feeling of what is said and signed into another language in the appropriate register and style in a range of settings such as courts, hospitals, schools, workplaces and conferences; studying original texts and transcripts of recorded spoken material to comprehend subject matter and translating them into another language; rendering the meaning and feeling of written material, such as literary, legal, technical and scientific texts, into another language in the appropriate register and style, so that it will read as an original piece rather than as a translation","Professionals > Legal, Social and Welfare Professionals > Social and Welfare Professionals > Social Professionals",2724,Social Professionals,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Registration or licensing may be required.Tasks Include:acting as a facilitator between clients in need and community servicesassessing resources for health, welfare, recreation, housing, employment and other community servicesproviding leadership and assistance for the implementation of pilot projects in community development and self-help, and planning and implementing research projects to address client needs, organisation goals and social policycooperating with community organisations, social agencies and voluntary groups to improve services and develop new servicesconducting individual and family case interviews to identify the nature and extent of clients' problemsassisting clients to understand and resolve problems by providing information, acting as a mediator and referring them to community and self-help agenciesanalysing, developing, promoting and implementing social policies through the use of practice experience, research, analytic frameworks, and negotiation skills to respond to social need through a fair, equitable and effective allocation of social resourcesmonitoring the progress of clients by maintaining contactcompiling case records and reportsOccupation:272511 Social Worker272511 Social WorkerAssesses the social needs of individuals, families and groups, assists and empowers people to develop and use the skills and resources needed to resolve social and other problems, and furthers human wellbeing and human rights, social justice and social development. Registration or licensing may be required.Skill Level: 1Specialisation:Whanau Support Worker (Family Support Worker) (NZ)","acting as a facilitator between clients in need and community services; assessing resources for health, welfare, recreation, housing, employment and other community services; providing leadership and assistance for the implementation of pilot projects in community development and self-help, and planning and implementing research projects to address client needs, organisation goals and social policy; cooperating with community organisations, social agencies and voluntary groups to improve services and develop new services; conducting individual and family case interviews to identify the nature and extent of clients' problems; assisting clients to understand and resolve problems by providing information, acting as a mediator and referring them to community and self-help agencies; analysing, developing, promoting and implementing social policies through the use of practice experience, research, analytic frameworks, and negotiation skills to respond to social need through a fair, equitable and effective allocation of social resources; monitoring the progress of clients by maintaining contact; compiling case records and reports","Professionals > Legal, Social and Welfare Professionals > Social and Welfare Professionals > Social Workers",2725,Social Workers,Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:researching and analysing community issues, needs and problemsdeveloping, evaluating and maintaining community resources and programsevaluating data and writing reports such as submissions requesting funding for continuing programs and new projectsidentifying issues of local need, concerns and aspirations through community consultationorganising local sporting, cultural and recreational events and activities such as community functions, hobby classes, community arts projects and sporting competitionsproviding support while exploring alternatives with clients who experience difficulties such as marital problems, unemployment, illness and drug abuseassessing risks and providing intensive short-term crisis counselling for victims of domestic violence, child abuse, disasters and other crisesassisting to establish and administer neighbourhood houses, community groups, employment training programs and other servicesOccupations:272611 Community Arts Worker272612 Recreation Officer / Recreation Coordinator272613 Welfare Worker272611 Community Arts WorkerAlternative Titles:Community ArtistCommunity Arts OfficerIdentifies issues of local need, concerns and aspirations through community consultation, and designs and implements strategies to facilitate and encourage community arts projects and happenings, and promote the value of community cultural development.Skill Level: 1Specialisation:Community Cultural Development Officer272612 Recreation Officer / Recreation CoordinatorAlternative Title:Recreation AdviserPlans, organises and coordinates recreation facilities and programs through organisations such as local governments, schools, church bodies and youth organisations.Skill Level: 1272613 Welfare WorkerAlternative Title:Welfare Case WorkerAssists individuals, families and groups with social, emotional or financial difficulties to improve quality of life, by educating and supporting them and working towards change in their social environment.Skill Level: 1","researching and analysing community issues, needs and problems; developing, evaluating and maintaining community resources and programs; evaluating data and writing reports such as submissions requesting funding for continuing programs and new projects; identifying issues of local need, concerns and aspirations through community consultation; organising local sporting, cultural and recreational events and activities such as community functions, hobby classes, community arts projects and sporting competitions; providing support while exploring alternatives with clients who experience difficulties such as marital problems, unemployment, illness and drug abuse; assessing risks and providing intensive short-term crisis counselling for victims of domestic violence, child abuse, disasters and other crises; assisting to establish and administer neighbourhood houses, community groups, employment training programs and other services","Professionals > Legal, Social and Welfare Professionals > Social and Welfare Professionals > Welfare, Recreation and Community Arts Workers",2726,"Welfare, Recreation and Community Arts Workers",No Shortage
"Indicative Skill Level:Most occupations in this major group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Associate Degree, Advanced Diploma or Diploma, or at least three years of experience (ANZSCO Skill Level 2); orAQF Certificate III including at least two years of on-the-job training, or AQF Certificate IV or at least three years of relevant experience (ANZSCO Skill Level 3)AQF Certificate II or III, or at least one year of relevant experience (ANZSCO Skill Level 4)In New Zealand:NZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2); orNZQF Level 4 qualification, or at least three years of relevant experience (ANZSCO Skill Level 3)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:carrying out tests and experiments, and providing technical support to Health Professionals, Natural and Physical Science Professionals and Engineering Professionalsproviding technical support to users of computer hardware and softwarefabricating, repairing and maintaining metal, wood, glass and textile productsrepairing and maintaining motor vehicles, aircraft, marine craft and electrical and electronic machines and equipmentconstructing, repairing, fitting-out and finishing buildings and other structuresoperating printing and binding equipmentpreparing and cooking foodshearing, caring for, training and grooming animals, and assisting Veterinarianspropagating and cultivating plants, and establishing and maintaining turf surfaces for sporting eventscutting and styling hairoperating chemical, gas, petroleum and power generation equipmentproviding technical assistance for the production, recording and broadcasting of artistic performances","carrying out tests and experiments, and providing technical support to Health Professionals, Natural and Physical Science Professionals and Engineering Professionals; providing technical support to users of computer hardware and software; fabricating, repairing and maintaining metal, wood, glass and textile products; repairing and maintaining motor vehicles, aircraft, marine craft and electrical and electronic machines and equipment; constructing, repairing, fitting-out and finishing buildings and other structures; operating printing and binding equipment; preparing and cooking food; shearing, caring for, training and grooming animals, and assisting Veterinarians; propagating and cultivating plants, and establishing and maintaining turf surfaces for sporting events; cutting and styling hair; operating chemical, gas, petroleum and power generation equipment; providing technical assistance for the production, recording and broadcasting of artistic performances",Technicians and Trades Workers,3,Technicians and Trades Workers,
"Indicative Skill Level:Most occupations in this sub-major group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Associate Degree, Advanced Diploma or Diploma (ANZSCO Skill Level 2); orAQF Certificate III including at least two years of on-the-job training, or AQF Certificate IV or at least three years of relevant experience (ANZSCO Skill Level 3)In New Zealand:NZQF Diploma (ANZSCO Skill Level 2); orNZQF Level 4 qualification (ANZSCO Skill Level 3)At least three years of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:performing scientific tests, experiments and computations and collating and analysing the resultsinspecting animals, plants and agricultural produce to ensure compliance with government and industry standardsdeveloping, operating and maintaining instruments and equipment used in clinical diagnosis and experimental researchpreparing, interpreting, inspecting and revising drawings, plans, diagrams, designs, maps and chartsinstalling, testing, repairing and modifying electrical, electronic and mechanical equipmentestimating quantities and costs of materialsproviding technical support for telecommunications networks, and to users of computer hardware and software","performing scientific tests, experiments and computations and collating and analysing the results; inspecting animals, plants and agricultural produce to ensure compliance with government and industry standards; developing, operating and maintaining instruments and equipment used in clinical diagnosis and experimental research; preparing, interpreting, inspecting and revising drawings, plans, diagrams, designs, maps and charts; installing, testing, repairing and modifying electrical, electronic and mechanical equipment; estimating quantities and costs of materials; providing technical support for telecommunications networks, and to users of computer hardware and software","Technicians and Trades Workers > Engineering, ICT and Science Technicians",31,"Engineering, ICT and Science Technicians",
"Indicative Skill Level:Most occupations in this minor group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Associate Degree, Advanced Diploma or Diploma (ANZSCO Skill Level 2); orAQF Certificate III including at least two years of on-the-job training, or AQF Certificate IV or at least three years of relevant experience (ANZSCO Skill Level 3)In New Zealand:NZQF Diploma (ANZSCO Skill Level 2); orNZQF Level 4 qualification (ANZSCO Skill Level 3)At least three years of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:collecting information and samples and conducting field and laboratory experiments, tests and analysespresenting results in graphic and written form by preparing maps, charts, sketches, diagrams and reportsinspecting animals, plants, agricultural produce and facilities to ensure compliance with government and industry standards with respect to quality, health and licensingtesting samples of produce for quality, size and purityundertaking and assisting in medical analytical procedures, and assisting Anaesthetists, surgical teams and Pharmacistschecking, calibrating and maintaining test equipment","collecting information and samples and conducting field and laboratory experiments, tests and analyses; presenting results in graphic and written form by preparing maps, charts, sketches, diagrams and reports; inspecting animals, plants, agricultural produce and facilities to ensure compliance with government and industry standards with respect to quality, health and licensing; testing samples of produce for quality, size and purity; undertaking and assisting in medical analytical procedures, and assisting Anaesthetists, surgical teams and Pharmacists; checking, calibrating and maintaining test equipment","Technicians and Trades Workers > Engineering, ICT and Science Technicians > Agricultural, Medical and Science Technicians",311,"Agricultural, Medical and Science Technicians",
